,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,pval,padj
FBgn0039155,453.275338598749,37.0227545310876,765.464776649495,20.6755220227264,4.36985185040681,5.02801515797847e-86,5.95115874098331e-82
FBgn0029167,2165.04449786732,707.339031225428,3258.32359784875,4.60645242805825,2.20365611405332,6.12151129572352e-37,3.62271038480918e-33
FBgn0000071,180.010186280563,346.293855838495,55.2974341121144,0.159683555396097,-2.64671234675978,1.0875895164847e-35,4.29090317237097e-32
FBgn0035085,366.827879044973,102.278479827935,565.239928457752,5.52647956254985,2.46636075804133,2.51074284829641e-35,7.42928808810906e-32
FBgn0034736,118.407382327029,19.7909802874763,192.369683856693,9.72006848889764,3.28096647928835,3.64129793580076e-34,8.61968047362755e-31
FBgn0029896,257.902702279936,66.6306158978064,401.356767066534,6.02360884194899,2.59062808805386,1.26912843105502e-33,2.5035673516612e-30
FBgn0011260,140.36396159139,258.463653282539,51.7891928230281,0.200373213661941,-2.31923843615468,1.16826194704654e-26,1.97536405789184e-23
FBgn0037290,44.3713135703912,92.3200380066293,8.40977024321262,0.0910936609732411,-3.45650552653404,1.33499277897507e-24,1.97512181649362e-21
FBgn0001226,686.718968222279,1135.16026691622,350.387994201821,0.308668303863106,-1.69587074995588,3.73087825086375e-23,4.08286541055593e-20
FBgn0003501,161.220991835068,289.066683339545,65.3367232067102,0.226026474071258,-2.14543633209455,3.79448458230105e-23,4.08286541055593e-20
FBgn0033764,41.7455783445008,87.5772738195394,7.37180673822188,0.0841748825547153,-3.57046638664545,3.46835265709288e-23,4.08286541055593e-20
FBgn0039827,171.935554241013,33.3489818576311,275.875483528549,8.27238098920919,3.04830263132322,1.19411001128942e-22,1.1777905078018e-19
FBgn0051092,93.3303464268381,176.084918943489,31.2644170393502,0.177553064890151,-2.49367783076245,2.52776595319903e-22,2.30143367862029e-19
FBgn0035189,115.492220778798,230.238436492383,29.4325589936093,0.127835123630989,-2.96764381317004,3.3567605190203e-22,2.83790125022316e-19
FBgn0024288,32.0787001171375,1.45858287670902,55.0437880474588,37.7378542737685,5.23794049035889,7.42827758366099e-21,5.8614062320141e-18
FBgn0034434,76.9133433662831,9.69789614329164,127.324928783527,13.129128926752,3.71469929636242,2.46814068602308e-20,1.82580707248558e-17
FBgn0052407,114.813921385962,36.953291236832,173.209393997809,4.68725215536872,2.22874240811217,1.64057225417594e-17,1.14222430590744e-14
FBgn0040091,610.603484946151,290.566885397292,850.630934607794,2.92748753335992,1.54966302705506,2.04071464433713e-17,1.34188325168746e-14
FBgn0032405,50.6281823492568,95.315997920393,17.1123206709047,0.179532513368813,-2.47768295485981,6.36672167555045e-17,3.96613251325343e-14
FBgn0040827,117.030779720834,37.7711944721684,176.475468657333,4.67222366471277,2.22410933933957,4.48458911775103e-16,2.65397983988506e-13
FBgn0001224,314.429485648682,493.656079795417,180.00954003863,0.364645645837545,-1.45543292763649,5.38853811215085e-16,3.03708271882941e-13
FBgn0261362,3453.73018699876,5499.65679495049,1919.28523103496,0.348982727939888,-1.518772459404,6.14534733696009e-15,3.30619686728453e-12
FBgn0016715,86.3132925856205,32.9319897946326,126.349269678861,3.83667280558475,1.93985573604111,1.35583837543434e-13,6.97726217897428e-11
FBgn0029002,1016.1784452021,1560.10534218487,608.233272465032,0.38986679682362,-1.35894680267463,1.68042340640136e-13,7.9557965752666e-11
FBgn0033913,2816.22051786191,1645.16322864311,3694.51348477601,2.24568202136583,1.16715366296768,1.63650939865786e-13,7.9557965752666e-11
FBgn0023479,1823.53557328281,889.06101075583,2524.39149517804,2.83939062070885,1.50558133718969,2.23932526897778e-13,1.01940976475466e-10
FBgn0031327,398.461572611581,593.588377059358,252.116469275749,0.424732826684944,-1.23537247910199,5.84439206801386e-13,2.56200831544489e-10
FBgn0031150,469.229985713552,699.835146117597,296.276115410518,0.423351295021603,-1.24007279264764,8.05379881702166e-13,3.40445581422387e-10
FBgn0051642,56.4658468110853,100.99684552651,23.0675977745167,0.228399190630779,-2.13037055659917,8.94564660591751e-13,3.65105769750482e-10
FBgn0260011,45.0828278182932,82.173094643084,17.2651276997001,0.210106821152234,-2.25080509478617,1.23559294258377e-12,4.87482602280717e-10
FBgn0063649,376.872136204204,201.273942232622,508.570781682891,2.52675918224482,1.33728817194524,2.03304717444304e-12,7.76230527635738e-10
FBgn0034751,8812.2339812783,5393.73919479278,11376.1050711424,2.10913146896779,1.07664902577,5.29046003286814e-12,1.9568089046571e-09
FBgn0039479,97.4144915488579,158.693842454694,51.454978369481,0.324240547544692,-1.62486357811023,5.91380204991737e-12,2.12108366857036e-09
FBgn0039419,806.812691718091,466.729963791126,1061.87473766331,2.27513727432021,1.18595359542395,6.3959011692709e-12,2.22652606586736e-09
FBgn0037153,63.6323357619375,107.333659969228,30.8563426064697,0.287480577996838,-1.7984636030882,1.5580921966194e-11,5.26902263976776e-09
FBgn0025111+FBgn0003360,3454.29887102179,2168.38621764549,4418.73336105402,2.03779812152286,1.02701113516224,2.83690347036465e-11,9.32710818756556e-09
FBgn0001225,218.425378943731,327.419113046954,136.680078366314,0.417446853039131,-1.26033556134278,4.26960383316319e-11,1.36581164781945e-08
FBgn0034718,257.833313251996,394.633502209866,155.233171533593,0.393360347421896,-1.34607656040523,6.45834163007625e-11,2.01160346141007e-08
FBgn0034010,236.746276788605,128.166559401128,318.181064829213,2.48255915049876,1.31182809242217,6.88095899069475e-11,2.0882828362529e-08
FBgn0038832,167.592292128456,42.6712719612695,261.283057253846,6.12316074128279,2.61427655629245,7.18774303237928e-11,2.12685316328103e-08
FBgn0261284,23.4679183775499,45.7236300749263,6.77613460451752,0.148197651704679,-2.75440550757327,1.17072004072506e-10,3.37966887854191e-08
FBgn0063498,172.081082384128,88.9157716855773,234.455065408041,2.63682202789756,1.3988001998963,1.36924317425926e-10,3.85865766917442e-08
