,logFC,logCPM,LR,PValue,FDR
FBgn0001226,-14.0765061706588,6.85483047803274,2945.67713839946,0,0
FBgn0039464,-14.0729082513682,6.46829792764446,1697.10369837381,0,0
FBgn0035811,-13.8684642192807,6.55672473029735,2297.10656911457,0,0
FBgn0038149,-13.8247651091007,6.72617264084276,2706.96107470059,0,0
FBgn0261238,-13.8117173980592,6.50866587371998,2879.24142210449,0,0
FBgn0003748,-13.73862738548,6.74716529413484,3526.58275300864,0,0
FBgn0040271,-13.7305890903519,6.65909144462937,3191.01416884778,0,0
FBgn0086906,-13.623755755237,6.71066999641384,2572.27484394591,0,0
FBgn0033777,-13.5850555996429,6.6511950301814,2454.51804730177,0,0
FBgn0031738,-13.56287792264,6.61855634276754,2774.43079156733,0,0
FBgn0001122,-13.5580940986881,6.74392067310093,2757.8061537369,0,0
FBgn0026380,-13.4859891520055,6.62613770257668,2466.42012140659,0,0
FBgn0260746,-13.4571157843722,6.71367165543796,2686.33840588035,0,0
FBgn0015777,-13.4423476174087,6.82143506392771,3088.62990917853,0,0
FBgn0031489,-13.4260312729848,6.83794550894232,2431.81332911659,0,0
FBgn0029147,-13.4233719196575,6.77722464315324,2336.49635010918,0,0
FBgn0036007,-13.3941414653126,7.00499908556915,3511.86570058648,0,0
FBgn0001124,-13.393519573893,6.9181715318439,3802.33748761033,0,0
FBgn0038476,-13.387351479197,6.89217391309691,2620.9011905955,0,0
FBgn0040623,-13.3546215092129,6.75849955792912,2425.49502889341,0,0
FBgn0021967,-13.3522889312176,6.63905053954661,1632.45331443732,0,0
FBgn0015796,-13.3468810910464,6.60420340689199,2065.21787542686,0,0
FBgn0003502,-13.3308648657699,7.01837771389152,3959.49920958735,0,0
FBgn0020249,-13.3165359224091,6.8282835378687,2224.70559788427,0,0
FBgn0023545,-13.3044208484292,6.81934041997822,2668.88810365373,0,0
FBgn0029002,-13.2891871858611,7.41343369018001,2254.33072640859,0,0
FBgn0035390,-13.2786795971746,6.86027961372826,3412.27920950024,0,0
FBgn0036290,-13.2695618509004,6.91848252496264,2971.02347626185,0,0
FBgn0003301,-13.2677594757009,6.73098881413182,2355.63365027719,0,0
FBgn0001977,-13.2635718245655,6.81429307891203,2898.73868461634,0,0
FBgn0085432,-13.2624682933628,6.68583044369719,1532.07791734966,0,0
FBgn0038968,-13.2623306525746,6.61079541237624,1608.76215501732,0,0
FBgn0032453,-13.2620131277252,6.78881211756781,2423.43253205918,0,0
FBgn0052056,-13.2607711664167,6.89084513857944,2793.91370695197,0,0
FBgn0003416,-13.2589832839358,6.73827429473307,2693.02565036494,0,0
FBgn0031769,-13.2462982385581,6.87500428374357,3738.17114539191,0,0
FBgn0027889,-13.2462418968217,6.79430939478408,2850.9039123272,0,0
FBgn0050035,-13.2413321180608,6.97878817147659,3793.04717005193,0,0
FBgn0039487,-13.239291070034,6.7930331722928,2534.83136584474,0,0
FBgn0259896,-13.238906143937,6.73256438506225,2153.28705758665,0,0
FBgn0016041,-13.2382772373297,6.83221318468531,3351.38848370129,0,0
FBgn0033095,-13.2368137346292,7.09037970980764,4683.1526344923,0,0
FBgn0043070,-13.2311064694792,6.81632449816778,2929.08772850928,0,0
FBgn0029088,-13.2297292041363,6.76778771130281,2426.58689169903,0,0
FBgn0004876,-13.2290364798678,6.78489674616482,2853.29727016568,0,0
FBgn0001123,-13.2242570508986,6.69978185046194,1981.44526941539,0,0
FBgn0001086,-13.2229906326228,6.74938038507752,2660.97015508488,0,0
FBgn0034948,-13.2198695924421,6.76415183151357,2384.05833434887,0,0
FBgn0036486,-13.2177389680776,6.72318875337826,2738.1669218127,0,0
FBgn0033698,-13.2174636313916,6.80753735502173,3014.43935758007,0,0
FBgn0004643,-13.2156018079578,6.85396657814366,3167.61400376972,0,0
FBgn0023083+FBgn0038627,-13.208577446636,6.70889158230626,2152.7699744423,0,0
FBgn0001258,-13.2084848085656,7.2170679557157,4967.30812880937,0,0
FBgn0001404,-13.2048416455487,6.87042692059577,2539.85326671466,0,0
FBgn0085339+FBgn0000392,-13.2039947372884,6.95404858885777,3934.69252302063,0,0
FBgn0033310,-13.2013691045198,6.864011239115,2926.60993135855,0,0
FBgn0039544,-13.2011236873921,6.86718455759406,3064.19695344267,0,0
FBgn0032465,-13.2008856869298,6.7305029576705,2349.64215799823,0,0
FBgn0022029,-13.1969749425307,6.82027272637369,3371.70383442774,0,0
FBgn0026059,-13.1964518073636,6.8081585552662,2814.91658471964,0,0
FBgn0039250,-13.1960506076981,6.74726353309169,2170.0611136367,0,0
FBgn0023215,-13.1944355159549,6.69208377110311,1984.78933034245,0,0
FBgn0039632,-13.1943769946112,6.80718000689582,3277.36833329722,0,0
FBgn0035617,-13.194151264804,6.73961779333719,1900.81205884772,0,0
FBgn0035830,-13.1898816738552,6.83173323506586,2941.5243708141,0,0
FBgn0036740,-13.188945028291,6.82110501374205,1924.56528468784,0,0
FBgn0032884,-13.1832012261857,6.87123071452856,3492.68377002123,0,0
FBgn0016031,-13.1812950808462,6.74712971160068,2554.59018002482,0,0
FBgn0026315,-13.1812873518376,6.6896830348625,1848.2308954786,0,0
FBgn0053144,-13.180949727926,6.93578439331469,2763.07125285966,0,0
FBgn0003022,-13.1774142877102,6.82454217723971,3258.80379808695,0,0
FBgn0030842,-13.1768873943143,6.78123416325778,1988.47469723136,0,0
FBgn0035464,-13.1765016238147,6.822569721797,2834.35649155174,0,0
FBgn0036842,-13.1738807011097,6.7601676625528,2482.8637171465,0,0
FBgn0039848+FBgn0039849,-13.1731561236584,6.78449378288424,2185.18570152825,0,0
FBgn0037339,-13.1666404148044,6.83429760443864,3260.83074422649,0,0
FBgn0024332,-13.1655446621247,6.84167416741405,2763.16773308258,0,0
FBgn0051361,-13.1654497281433,7.09753232920397,3104.51775869972,0,0
FBgn0037757,-13.1651347414498,6.92860634154853,3093.52924051924,0,0
FBgn0017567,-13.164243613132,6.77040515328591,2106.91444634946,0,0
FBgn0027949,-13.1625771223419,7.06783153249587,4313.67890175594,0,0
FBgn0015714,-13.1622116767269,6.66733705755451,1912.23352021367,0,0
FBgn0027786,-13.1620404807658,6.8725217133684,3565.48909354127,0,0
FBgn0027529,-13.1613396458231,6.92534254634997,3848.17808652947,0,0
FBgn0025936,-13.1603991144444,6.86219050562261,1621.16343081933,0,0
FBgn0040087,-13.1558384778824,6.80709163121947,3126.7799428884,0,0
FBgn0033162,-13.1556779495713,6.95981914583857,1543.06706850144,0,0
FBgn0015396,-13.1544351125554,6.91075965345,2270.73981566789,0,0
FBgn0037255,-13.1535918057336,6.78473294803273,2653.13028136989,0,0
FBgn0033226,-13.1534824110233,6.85479899007805,3490.05235426932,0,0
FBgn0001078,-13.1511659991635,6.78888500411152,2328.48439692327,0,0
FBgn0037298,-13.1488846081391,6.88305520172283,3638.91673845846,0,0
FBgn0031495+FBgn0031494,-13.1463336625768,6.8530441599366,3174.89453782203,0,0
FBgn0023175,-13.1463194674553,6.9132715343999,3817.93129998203,0,0
FBgn0042138,-13.1448907586535,6.74949375025968,2295.63571170471,0,0
FBgn0046685,-13.1446787697996,6.867273926683,3550.76608995173,0,0
FBgn0040394,-13.1440199376812,6.85778051588878,2879.69500432232,0,0
FBgn0014879,-13.1398750166281,6.90755138719341,3432.14404946113,0,0
FBgn0261554,-13.1394963439748,6.77998711019336,2898.55605769904,0,0
FBgn0040765,-13.1365089128343,7.00329373186771,3246.84413073392,0,0
FBgn0028509,-13.131081131137,6.76666000858429,2879.60331349043,0,0
FBgn0017577,-13.1295145521376,6.95796585512381,3673.36473235083,0,0
FBgn0022131,-13.1292712278858,6.85112541499654,2991.16778549038,0,0
FBgn0010590,-13.1266519315188,6.82037301418245,2232.55612145139,0,0
FBgn0022985,-13.1244202313152,6.93737086148929,3893.88383409711,0,0
FBgn0003310,-13.1227293970067,6.85374192516872,3176.58959429509,0,0
FBgn0029933+FBgn0003659,-13.1222520028934,6.90721285319795,2978.68951777407,0,0
FBgn0052451,-13.1220917972778,6.81531799835941,2823.62178309084,0,0
FBgn0039727,-13.1201989417899,6.85372216189626,2242.68686831584,0,0
FBgn0030749,-13.1152883650487,6.92453626969881,3325.06659045484,0,0
FBgn0033477,-13.1132125086203,6.86873789739901,2811.09479859945,0,0
FBgn0039215,-13.1118396177622,6.86186483246264,2926.12850167117,0,0
FBgn0260757,-13.1088600000953,6.78803982379178,2228.90105829884,0,0
FBgn0051550,-13.108117963285,6.87515788213469,2583.69120298518,0,0
FBgn0015320,-13.1068732359141,6.83529882120921,3340.35066982188,0,0
FBgn0030484,-13.1058286396927,6.89091079093151,2987.63565588196,0,0
FBgn0032720+FBgn0032721,-13.1057954634443,6.88302802724587,3424.30583259308,0,0
FBgn0035440,-13.105747692026,6.89547351985594,2969.45562667847,0,0
FBgn0037236,-13.1053457690117,6.86741163041485,3351.44428190494,0,0
FBgn0003317,-13.1046977898251,7.1405580664016,5126.05938128361,0,0
FBgn0034488,-13.104456363643,6.8463439271385,2469.88932264394,0,0
FBgn0036746,-13.1035954131016,6.63985257339375,2425.54802261761,0,0
FBgn0021953,-13.1022601967564,6.94376114657308,2954.68456959928,0,0
FBgn0004856,-13.1020687692654,6.90148842472044,3660.94002400095,0,0
FBgn0000376,-13.1015250833095,6.91639471863775,3489.27585537007,0,0
FBgn0033915,-13.1004149199909,6.88509568269649,3568.50424992027,0,0
FBgn0032925,-13.1000074062301,6.76492644211014,2023.17411852358,0,0
FBgn0004629,-13.0994672558422,6.9475474245958,2180.96666213989,0,0
FBgn0051531,-13.0974851141119,6.86015911758287,2660.33902130084,0,0
FBgn0003076,-13.0961829615932,7.20430280264267,5214.30125907271,0,0
FBgn0002542,-13.0934002536327,6.88552920907469,3413.23401675358,0,0
FBgn0004864,-13.0933458702232,6.82451002006294,3381.42826110344,0,0
FBgn0025457,-13.0930847410829,6.88502000753421,2992.14912739502,0,0
FBgn0031660,-13.0918129143536,6.94131738044811,3474.26419200714,0,0
FBgn0030073,-13.0917004818865,6.76220747592957,2643.66257776742,0,0
FBgn0025637,-13.091009518618,6.88175903265065,2521.46285732905,0,0
FBgn0032781,-13.089581230308,6.94061120273938,3393.3260787952,0,0
FBgn0029737,-13.0895611985022,6.85596739482873,2097.49636522945,0,0
FBgn0250747,-13.0892891564036,6.77671082885582,2612.15308481221,0,0
FBgn0036372,-13.0882632776445,7.02278519463076,4559.75707564868,0,0
FBgn0031459,-13.0882623600777,7.01819585163484,3880.37075047097,0,0
FBgn0029818,-13.0881820255073,6.87892598271441,3351.24645380174,0,0
FBgn0015600,-13.0847280856765,6.72699365862862,2185.91357705477,0,0
FBgn0259979,-13.0843872101694,6.83699483003312,2531.34253328428,0,0
FBgn0011672,-13.0838332056106,6.80353845332552,2655.92039729233,0,0
FBgn0001189,-13.08367213323,6.95927023317841,3984.98623416898,0,0
FBgn0039590,-13.0833270848656,7.05495693713336,4354.00931493525,0,0
FBgn0035471,-13.081237748999,6.96105369065654,3342.45377837585,0,0
