,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FBgn0039155,453.275338598749,4.28182985551151,0.191997712657872,22.3014628468072,3.57617366667966e-110,2.76402462697671e-106
FBgn0029167,2165.04449786732,2.18274456851219,0.10806697238694,20.1980727349033,1.01793122671344e-90,3.93379522563409e-87
FBgn0035085,366.827879044973,2.43686010675165,0.150527960097776,16.1887539375993,6.05421878676945e-59,1.5597685667647e-55
FBgn0029896,257.902702279936,2.51125654364817,0.182376399572099,13.7696354875972,3.88166696191023e-43,7.50035098715103e-40
FBgn0034736,118.407382327029,3.1663917740334,0.237550646241467,13.3293334458657,1.56287783536584e-40,2.41589655790852e-37
FBgn0040091,610.603484946151,1.52639981501432,0.127855476962042,11.938478126107,7.45751985575733e-33,9.6065284941914e-30
FBgn0000071,180.010186280563,-2.55041747932793,0.217877840428395,-11.7057222263322,1.1914045511183e-31,1.31548082508476e-28
FBgn0011260,140.36396159139,-2.26992451664018,0.196398904647628,-11.5577249308635,6.74727552712537e-31,6.518711568644e-28
FBgn0001226,686.718968222279,-1.66447919339678,0.150083389233995,-11.0903625104153,1.39720401322201e-28,1.19988775757699e-25
FBgn0034434,76.9133433662831,3.41666990643565,0.315478010579711,10.8301364654776,2.47785764772575e-27,1.91513617592723e-24
FBgn0038832,167.592292128456,2.49700687758982,0.231064516378458,10.8065354071934,3.20548790529464e-27,2.25229236545657e-24
FBgn0026562,23460.0755291105,2.26701688865139,0.214147192428657,10.5862554766234,3.45122682595786e-26,2.22287767815236e-23
FBgn0031191+FBgn0027279,2043.80957969435,0.999227556852627,0.0961101302271448,10.3966934025692,2.56686334362628e-25,1.52609898329904e-22
FBgn0033913,2816.22051786191,1.15698142312597,0.111841825142382,10.3448009870463,4.41833324493601e-25,2.43923554643646e-22
FBgn0051092,93.3303464268381,-2.37609828163955,0.230500663098972,-10.3084227598049,6.45519971830182e-25,3.32614924151698e-22
FBgn0023479,1823.53557328281,1.4807865388471,0.144003781116983,10.2829698453833,8.40955909418285e-25,4.0623426399337e-22
FBgn0035189,115.492220778798,-2.77497363893918,0.271336542826351,-10.2270546017648,1.5001256475349e-24,6.82027713517487e-22
FBgn0003501,161.220991835068,-2.06729480928071,0.206741612007328,-9.99941322508133,1.53302714404522e-23,6.58264822018084e-21
FBgn0033764,41.7455783445008,-3.24798067313518,0.32846681727939,-9.888306831227,4.67874005274858e-23,1.90326220356283e-20
FBgn0039419,806.812691718091,1.17125881791007,0.119178061279276,9.82780559892982,8.54606035913681e-23,3.30262502578842e-20
FBgn0034897,539.303379131195,1.75502018570889,0.183579966586425,9.55997660497818,1.17783326724231e-21,4.33498729643611e-19
FBgn0003748,638.404991063006,-1.01353634915071,0.106554393707501,-9.51191512508561,1.871842133948e-21,6.57612175149277e-19
FBgn0037290,44.3713135703912,-3.15723932247095,0.333681971594316,-9.46182170821461,3.02624232754304e-21,1.01694899780783e-18
FBgn0261552,2891.60113715861,1.88060304549899,0.199141111879466,9.44357007827323,3.60289849690715e-21,1.16028343677481e-18
FBgn0034751,8812.2339812783,1.06573986869769,0.114014632224845,9.34739557459589,8.98324439629673e-21,2.7772598375591e-18
FBgn0063649,376.872136204204,1.31166928080367,0.143539170760083,9.13805809144626,6.35837786157594e-20,1.89015009585079e-17
FBgn0039827,171.935554241013,2.75537577373611,0.305376924678955,9.02286830163366,1.83227782660078e-19,5.24506493399906e-17
FBgn0003137,2579.03764223005,-0.90344123699709,0.101331104721661,-8.91573460566417,4.84592874436435e-19,1.33764940232829e-16
FBgn0024288,32.0787001171375,3.91111338489377,0.440621144955351,8.87636335584868,6.90819108962623e-19,1.84115203212831e-16
FBgn0052407,114.813921385962,2.07885294889596,0.237979788218182,8.7354180977338,2.42756546767107e-18,6.2542178332099e-16
FBgn0040827,117.030779720834,2.09277843963149,0.239965160780103,8.72117616085632,2.75326691605313e-18,6.86451612715312e-16
FBgn0001224,314.429485648682,-1.42552826573489,0.167186560305916,-8.52657213071717,1.50748191693555e-17,3.64103991749839e-15
FBgn0051523,2852.13022195936,0.792871013492477,0.0951456801836966,8.33323186046588,7.86648910829877e-17,1.8424271005467e-14
FBgn0039109,290.334451440046,1.17136059027427,0.140938657735276,8.31113768994758,9.47888623661916e-17,2.15477387420087e-14
FBgn0025111+FBgn0003360,3454.29887102179,1.01606401615801,0.122487187341831,8.29526775990396,1.0834089172594e-16,2.39247643471368e-14
FBgn0001225,218.425378943731,-1.24384503801133,0.150121271040907,-8.28560156323478,1.17513578096143e-16,2.52295123640304e-14
FBgn0031150,469.229985713552,-1.21469700196238,0.149078695159621,-8.14802544831632,3.69914520955652e-16,7.72721441207091e-14
FBgn0085359,33.953598076468,3.54836518080476,0.441518048192068,8.03673869128258,9.22611313063219e-16,1.87654285228043e-13
FBgn0051363,4196.66475888597,-0.906803161933413,0.114946311509841,-7.88892788313422,3.04793581062011e-15,6.04038355904688e-13
FBgn0016715,86.3132925856205,1.86430162001679,0.236808744971968,7.87260462124183,3.47332997600957e-15,6.71134184614449e-13
FBgn0036968,447.610671716288,0.962497683334532,0.122942373577805,7.8288522933503,4.92343650634428e-15,9.2812782335451e-13
FBgn0261362,3453.73018699876,-1.47263117428691,0.194133156964691,-7.58567571512143,3.30758732767596e-14,6.08674820371608e-12
FBgn0032004,517.672048890807,1.23527282076957,0.163170095793519,7.57046084187339,3.71902526499434e-14,6.6847316914282e-12
FBgn0050147,598.405971050014,0.885149703252875,0.117175322684101,7.55406243377027,4.21887780803494e-14,7.41084240415956e-12
FBgn0051642,56.4658468110853,-1.98983599629632,0.264836721062006,-7.51344446614881,5.75915796635468e-14,9.89167376043452e-12
FBgn0037754,160.479079220019,2.08604309292093,0.279892742866376,7.45300886174397,9.1235152685279e-14,1.53294890240113e-11
FBgn0039479,97.4144915488579,-1.57806069930988,0.211891574148798,-7.44749150903807,9.51316699592707e-14,1.56440995130894e-11
FBgn0001137,290.657108373062,1.30092623645824,0.176328564502409,7.37785304456707,1.60862377933166e-13,2.59021941467799e-11
