,logFC,logCPM,PValue,FDR
FBgn0039155,4.37129177265841,6.23033319642295,1.22230385768797e-85,2.80274274567851e-82
FBgn0029167,2.16272066530145,8.48516568460063,1.77287410130747e-55,2.03260015714901e-52
FBgn0026562,2.32332859529467,11.9168143495929,7.37661706911347e-24,5.63819431315907e-21
FBgn0023479,1.46545204865948,8.2394737658924,1.0855487100177e-23,6.22290798017644e-21
FBgn0001226,-1.73161887220181,6.85546946958757,2.13560532200287e-23,9.79388600670518e-21
FBgn0034897,1.7621250082511,6.47965267391932,1.53634318903031e-19,5.87139155407749e-17
FBgn0261552,1.89348696637914,8.90672148518481,4.69748245752908e-18,1.53876103930203e-15
FBgn0040091,1.50922642712643,6.66772073014481,2.90515735508024e-17,8.32690726899874e-15
FBgn0261362,-1.55902558260091,9.17628170961331,1.63020845626151e-16,4.15340887800848e-14
FBgn0033913,1.13383997498846,8.87170674653447,1.54544492516418e-15,3.54370521340146e-13
FBgn0039419,1.14563559711326,7.07234661810115,2.5850519173048e-15,5.38865822398174e-13
FBgn0003137,-0.947275890281816,8.75432616557745,2.69002630305245e-14,5.14019192741606e-12
FBgn0031191+FBgn0027279,0.967433430370587,8.4087728890866,4.54503828343436e-14,8.01674829531923e-12
FBgn0029002,-1.40107503609473,7.41352064834928,2.56216305575424e-13,4.18102519214872e-11
FBgn0001258,-0.959223287435063,7.21668343503033,2.73507971575363e-13,4.18102519214872e-11
FBgn0033367,-1.40236746958913,10.4021299949086,3.09776543079837e-13,4.43948508301292e-11
FBgn0036985,1.33592049762872,7.39992122924334,1.21302988202474e-12,1.63616324675455e-10
FBgn0034751,1.04124669818128,10.516528204309,2.99220857568097e-11,3.63576191794045e-09
FBgn0003748,-1.05965060261422,6.74794183134384,3.01262435415912e-11,3.63576191794045e-09
FBgn0261015+FBgn0053191+FBgn0046874,0.881174584437909,7.4499249684948,1.03679576756472e-10,1.18868634751295e-08
FBgn0053307,1.40444415293229,6.65691191204563,1.18980673290334e-10,1.24719829672543e-08
FBgn0038149,-1.16256722323703,6.72497732031793,1.19661415298558e-10,1.24719829672543e-08
FBgn0025111+FBgn0003360,0.996826691554907,9.16728238040576,1.32252595880463e-10,1.31850087979957e-08
FBgn0051363,-0.955579690955206,9.46122661078707,2.78178689860377e-10,2.65776556604102e-08
FBgn0004507,-0.93420351815629,7.4546989607443,4.72998899869544e-10,4.33834590960346e-08
FBgn0031805,0.864517068689281,8.04602805587817,6.48266070254685e-10,5.71720807343843e-08
FBgn0029801,0.814911220793691,7.06676079672889,3.41848643572505e-09,2.87227128956152e-07
FBgn0033095,-0.792454114943566,7.09123177040892,3.50735264316278e-09,2.87227128956152e-07
FBgn0034405,-0.717292555951684,7.78737451995693,3.85046887124067e-09,3.0445259040534e-07
FBgn0040398,0.859455197522265,8.46184740000518,3.99634813755172e-09,3.05454209313537e-07
FBgn0035147,1.03405890665308,10.7901675434135,4.71982943945046e-09,3.49115125956771e-07
FBgn0003076,-0.74315822922468,7.2043695162361,5.11774918650776e-09,3.66718715145697e-07
FBgn0040388,0.958303718622525,7.1895708538006,5.41193529140057e-09,3.76047503732773e-07
FBgn0261560,0.883078673988862,7.34627035712927,8.69415513232423e-09,5.86344050541749e-07
FBgn0031307,-0.912505789734904,7.32950107244062,1.12661643367205e-08,7.38094709260003e-07
FBgn0036007,-0.914508093988035,7.00519756774616,1.18286820712572e-08,7.53421333038686e-07
FBgn0036576,1.03796186058186,7.40708559844322,2.38458340019988e-08,1.47779722612387e-06
FBgn0051523,0.759851597552485,8.89122989387253,2.72779071151866e-08,1.64600634250324e-06
FBgn0039464,-1.14683547350878,6.46549318598557,3.03221560368525e-08,1.78278727673084e-06
FBgn0033635,-1.29601148290286,8.08434517766701,3.40945398237451e-08,1.95446949539619e-06
FBgn0040271,-0.897064228626763,6.65930010403239,4.19768343965141e-08,2.31100535314742e-06
FBgn0003502,-0.826609606196353,7.0176425553048,4.23297971357138e-08,2.31100535314742e-06
FBgn0050147,0.857345814613686,6.6398082377312,4.94192442830384e-08,2.59302099043469e-06
FBgn0004396,-1.04917634941249,7.83245976483611,5.05897625541837e-08,2.59302099043469e-06
FBgn0040752,0.819938662992515,8.79931835982092,5.08878955820154e-08,2.59302099043469e-06
FBgn0086355,-0.766553284606347,8.55832633688751,6.8577513778035e-08,3.41843998028335e-06
FBgn0038293,-0.655218885990832,8.22530535173894,7.53568270604954e-08,3.67645115850459e-06
FBgn0003074,-0.730950217264544,7.8296214284199,7.93910634313447e-08,3.79257725933486e-06
FBgn0035811,-0.955949207470682,6.55531618487842,8.75858068172588e-08,4.06146965448577e-06
FBgn0050069,0.904895164262685,7.10047663748693,8.85623561815476e-08,4.06146965448577e-06
FBgn0031374,0.717045285802797,7.6956238949823,9.85650719035627e-08,4.43156293872293e-06
FBgn0020240,-0.705732646669856,7.79093487369782,1.07594929086095e-07,4.74452254604646e-06
FBgn0031912,0.976405487462979,7.07852870366053,1.36091724788981e-07,5.8878929234176e-06
FBgn0027580,0.858701692149179,6.91869782248194,1.6585678964371e-07,7.04277071579681e-06
FBgn0023170,-1.28036079080822,9.85378567698754,2.13773863891261e-07,8.91242672550292e-06
FBgn0261563,-0.770300443551362,7.41109325177076,2.53452939727773e-07,1.03779926927819e-05
FBgn0001091,-0.708015110209693,8.55667927683905,2.91129523095296e-07,1.17115788852195e-05
FBgn0001124,-0.76118724865843,6.91812692800022,3.69826081016756e-07,1.46208828236452e-05
FBgn0261238,-0.774607504896017,6.50818511026185,3.81031814422432e-07,1.48085754317057e-05
FBgn0034638,0.807028176858234,7.44803264539812,4.45427061249918e-07,1.7022737524101e-05
FBgn0037683,0.831191900599886,7.17009133473896,5.1025514158755e-07,1.91805744206599e-05
FBgn0051431,0.628235207893475,7.79045719727586,5.66694276080936e-07,2.09585479847352e-05
FBgn0003317,-0.641071056200075,7.14045779141767,6.03116154971514e-07,2.19515133865029e-05
FBgn0032775,0.729539477725734,8.19721615862122,8.62840195818596e-07,3.09139463908131e-05
FBgn0037468,-0.899794139135489,8.1867855532795,1.44486448413117e-06,5.09703732632733e-05
FBgn0028327,-0.640091014128523,8.37604037328898,1.89868579052671e-06,6.51199004159873e-05
FBgn0045852,0.676471038505624,7.58701059922929,1.93238018490938e-06,6.51199004159873e-05
FBgn0030237,0.852555285643593,7.61438043978915,1.95354903830884e-06,6.51199004159873e-05
FBgn0026376,0.990778853360413,6.98745823087474,1.95956089345971e-06,6.51199004159873e-05
FBgn0250906,-0.661605176030386,7.98936648700083,2.24496456681176e-06,7.35386250242765e-05
FBgn0036373,0.919338308989729,8.46763299251746,2.93702378592759e-06,9.48534583258024e-05
FBgn0259111,-0.687252045048586,7.79911262630627,3.07229335792815e-06,9.7844009301795e-05
FBgn0027836,-0.633998185945438,8.26001893714201,3.80566020599009e-06,0.00011953943633336
FBgn0035150,-0.61440350311996,7.89220219851334,4.28055390004718e-06,0.000132639325578489
FBgn0000299,-0.677723508123382,12.1592592742217,5.66239257346038e-06,0.000173118215612595
FBgn0031313,0.666802265282334,7.11951751896428,5.83485471593589e-06,0.000176043708732118
FBgn0052521,0.824054154377199,7.8714855108337,6.53298535577494e-06,0.000192830919910651
FBgn0010591,0.582950164613574,7.31455050580744,6.55944690494147e-06,0.000192830919910651
FBgn0027949,-0.615794587795186,7.06837968200237,8.20148203580102e-06,0.000238050611494832
FBgn0035232,0.542252671355188,7.49759716409207,9.00864345325018e-06,0.000258210242978783
FBgn0000405,-0.587700475760165,7.84955075673882,9.13343299696546e-06,0.000258555084716565
FBgn0040813,0.903873042680861,12.3126626061642,9.96248791491479e-06,0.000276476557760686
FBgn0015541,-0.512282464841938,7.46973484820039,1.00076556014553e-05,0.000276476557760686
FBgn0086906,-0.801725776902382,6.71094652423282,1.14156925353035e-05,0.000311621225993464
FBgn0043364,1.2361781437265,6.75475497510843,1.15598767673694e-05,0.000311844675618565
FBgn0085446,-0.574436464331464,8.53609706677272,1.18465829962234e-05,0.000315862962910932
FBgn0014869,-0.569520959179633,7.24866742619658,1.5330633645611e-05,0.00040405911436076
FBgn0025678,-0.598654553763482,9.77106500886037,1.78708809955829e-05,0.000465658296850812
FBgn0000146,-0.546561164706289,7.32291624816366,1.88914350097109e-05,0.000486562486253583
FBgn0013765,-0.561541067936318,8.03573251261104,1.90975245367739e-05,0.000486562486253583
FBgn0038877,0.705012376398544,6.63216508306825,1.93552935000656e-05,0.000487710857095061
FBgn0039735,-0.639180125270688,7.23896712038119,2.30580566285326e-05,0.000574696998361143
FBgn0033502+FBgn0033504,0.632805468003178,7.72454498189175,2.45053547170061e-05,0.000599592684322922
FBgn0002527,0.727370603962542,11.698026508471,2.48026630826194e-05,0.000599592684322922
FBgn0001122,-0.746065808802319,6.74566115864681,2.49627813108395e-05,0.000599592684322922
FBgn0028990,0.715522658465108,6.82289108550868,2.51028773201049e-05,0.000599592684322922
FBgn0030349,0.536832274645597,7.45666432269422,2.69744791063047e-05,0.000637654439079965
FBgn0261278+FBgn0002652,-0.501600761070038,7.40605314588556,2.7322512323671e-05,0.00063925640404279
FBgn0031449,0.741554197343341,6.6930341218162,2.75998185783848e-05,0.00063925640404279
FBgn0015777,-0.673618733602353,6.8209358104239,3.19748049606948e-05,0.000733182277748732
FBgn0039637,0.530311330538086,8.06066018176993,3.29822921621687e-05,0.000748795999285673
FBgn0005640,-0.6493709704731,7.44924201622911,3.6349603409776e-05,0.000810117064145736
FBgn0051361,-0.674204585583472,7.0975372833807,3.63899073733148e-05,0.000810117064145736
FBgn0027091,0.650087813677034,6.89630007488108,3.78544660471302e-05,0.000834618179289131
FBgn0026585,-0.545008945098066,7.41071926707815,4.53049157924717e-05,0.000989373065829882
FBgn0085402,0.575244822043771,8.97548027279206,4.7711981075893e-05,0.00103210917553795
FBgn0030343,-0.567534767294964,7.157307387071,5.37349406561398e-05,0.00115153475630401
FBgn0028542,0.907628726153972,6.72614359931788,5.87019799857404e-05,0.00124633000099354
FBgn0041629,-0.641946328599144,10.1841458333967,6.00419299488588e-05,0.00126308390250214
FBgn0031148,-0.639558087520813,7.99772996569003,6.21560336625292e-05,0.001295670774438
FBgn0032956,-0.632858127440384,8.12107937122881,6.55168138382495e-05,0.00135342391109104
FBgn0038476,-0.705711228424603,6.89394040308535,6.6837868675749e-05,0.00136838600779904
