,logFC,AveExpr,t,P.Value,adj.P.Val,B
32228_at,5.60071998747177,5.60559019730265,431.685855948,3.20046583698408e-43,4.0405881191924e-39,86.6060477700591
35119_at,13.2620143087034,13.2802801668512,392.972149392084,2.33552459738918e-42,1.47429990210192e-38,85.1822645294828
1664_at,5.43950092668634,5.44220445453458,327.801059525628,1.08180976544298e-40,3.01859544823078e-37,82.2101470374345
36333_at,12.77389997804,12.7393432272266,326.643021399253,1.16589697303909e-40,3.01859544823078e-37,82.1494441108667
36555_at,3.61600351395445,3.6174181855601,326.090060625179,1.2084368188347e-40,3.01859544823078e-37,82.1203483955004
35505_at,4.32007205836277,4.32464861689255,321.808931276487,1.59816695752601e-40,3.01859544823078e-37,81.8926440134069
32438_at,13.5708321449279,13.5743732618581,319.104851907305,1.91044837945857e-40,3.01859544823078e-37,81.7465586470411
33660_at,13.3605732096178,13.3312331739092,319.086503365546,1.91277335333436e-40,3.01859544823078e-37,81.745561319164
41383_at,4.12057202892546,4.12118434217717,308.725862987255,3.84481047440511e-40,5.11499048532538e-37,81.1689990775439
33608_at,3.94778073474411,3.95021002030253,305.936319748239,4.6585603368789e-40,5.11499048532538e-37,81.0090600334251
32276_at,13.2355703608845,13.211044029997,305.334889984885,4.8565453332717e-40,5.11499048532538e-37,80.9743078564565
31952_at,12.876688528688,12.8447358665458,305.319359202879,4.86177313456669e-40,5.11499048532538e-37,80.973409174118
31609_s_at,4.0044513910242,4.00712018784541,300.172909194718,6.96543770321116e-40,6.50747674592204e-37,80.672037928582
347_s_at,13.4632679693913,13.4598103456653,299.671360553707,7.21621183706207e-40,6.50747674592204e-37,80.6422819685293
36428_at,3.56035204465555,3.56226578758691,296.556580358631,9.0008684751107e-40,6.96072463717904e-37,80.4559247473201
1277_at,3.57135788678288,3.57348727894588,296.316337779322,9.15648460305281e-40,6.96072463717904e-37,80.4414382568339
39947_at,3.82881095934794,3.82319015344461,295.989311088271,9.37285693719158e-40,6.96072463717904e-37,80.4216925678776
36507_at,2.94662127709143,2.94224800774543,293.812291140979,1.09567648322389e-39,7.68495311150088e-37,80.2894717980282
41661_at,4.27341080150172,4.28228504690601,290.64232272922,1.37823960030802e-39,9.15803944941511e-37,80.0945093320743
32466_at,13.1193276203678,13.1097080181376,289.366135097729,1.5126779167543e-39,9.42475618919984e-37,80.0151928210733
36730_at,4.30079645501378,4.29697731863732,288.599379014913,1.59999395573429e-39,9.42475618919984e-37,79.9673070544689
38701_at,3.60156904706246,3.60829949270438,288.243210821269,1.64233375178136e-39,9.42475618919984e-37,79.9450041953752
34600_s_at,3.13401479649415,3.13157588073478,285.579060715322,1.99873392425201e-39,1.06152673015117e-36,79.7769749388856
38320_s_at,5.95771390060745,5.95566679257907,285.449884506039,2.01795180385173e-39,1.06152673015117e-36,79.7687733990966
38937_at,3.34579156706118,3.35006164873601,283.870814282868,2.2691567238778e-39,1.14592414555829e-36,79.6681063133733
34488_i_at,4.01283001855122,4.01223520913027,280.200646027193,2.98811303079402e-39,1.45095873129902e-36,79.431164460869
35377_at,4.56090162449969,4.56327382683499,277.882179246148,3.56217814516051e-39,1.66564811417227e-36,79.2793126195205
35788_at,3.75726617753848,3.75653789493198,274.208737388817,4.72008371904983e-39,2.10711115641066e-36,79.0351902823653
34529_at,4.30083617582187,4.30408681309764,273.136688192525,5.12779734870001e-39,2.10711115641066e-36,78.9631182018535
39965_at,3.09904611682377,3.10217566290604,273.072694947268,5.15327262452944e-39,2.10711115641066e-36,78.9588040782402
302_at,4.02440623748504,4.02344329705693,273.021129995794,5.17389670088955e-39,2.10711115641066e-36,78.9553268283571
327_f_at,13.1111638113749,13.0986563586389,266.995204166726,8.29501795543289e-39,3.27264380272938e-36,78.5428402474998
41444_at,3.5283399071287,3.53000012425861,264.232244159252,1.03362553797497e-38,3.95440073240425e-36,78.3495579530737
35420_r_at,4.14202189927334,4.13498061819137,260.987194677347,1.34234327439522e-38,4.8631170256502e-36,78.1191202715247
1352_at,4.02439591199365,4.02511101295812,260.933559717382,1.34819085859609e-38,4.8631170256502e-36,78.115279948046
41114_at,3.50575194558909,3.51285785197047,260.222054957725,1.4283378162273e-38,4.96480744642131e-36,78.0642372399927
34104_i_at,2.87625681823053,2.8765324602074,259.994320264422,1.45503267736704e-38,4.96480744642131e-36,78.047861095236
34209_at,3.56482656175207,3.56707453607186,259.66183413626,1.49494843558578e-38,4.96676947349224e-36,78.0239186190812
35485_at,2.88091602237746,2.87958845284135,258.784062184954,1.60593544505207e-38,5.19570617495851e-36,77.9605165614101
35748_at,12.5559693331365,12.4671007147564,258.481498433175,1.64616433266012e-38,5.19570617495851e-36,77.9385969533994
540_at,2.72552335525996,2.72576697779366,255.893432001467,2.03658014092382e-38,6.27117665345444e-36,77.7497221613882
1324_at,3.51974122791266,3.51977376011124,254.713073116622,2.24577694203327e-38,6.72021206569389e-36,77.6627523395801
36916_at,3.87894024041903,3.88456188976442,254.484293430636,2.28886430752346e-38,6.72021206569389e-36,77.6458350338829
34978_g_at,3.60609475827879,3.60897126111402,251.780021511968,2.86909423609258e-38,8.11085526478014e-36,77.4443582698621
31674_s_at,3.27678026038538,3.28482423992385,251.68949468672,2.89099791615926e-38,8.11085526478014e-36,77.4375652975156
1254_at,3.46813570910429,3.47245378439625,249.957468075659,3.34558659339089e-38,9.1821805959913e-36,77.3069857946622
37415_at,4.14293917057144,4.14097063871632,249.133324954312,3.58761364182847e-38,9.44856667467939e-36,77.2444419865013
41395_at,3.70120581257017,3.70431034243239,249.117861216727,3.59232633968009e-38,9.44856667467939e-36,77.2432659034799
1542_at,3.27083090538007,3.27143169976289,248.666924325115,3.73264305203832e-38,9.61726908815997e-36,77.2089288285949
33416_at,2.84885844706666,2.84953741193055,247.790797154933,4.02192618552859e-38,1.0109884576228e-35,77.1419854950305
37858_at,4.13224723167951,4.1320650605701,247.611430226478,4.08399297732774e-38,1.0109884576228e-35,77.1282428394299
32123_at,3.39453463575415,3.39242746444631,246.856111537316,4.356572883556e-38,1.05772562797874e-35,77.0702315117568
41602_at,4.09153870058409,4.08371599923532,245.628628464509,4.84093623286451e-38,1.13575057133982e-35,76.9754685688131
1653_at,12.906828548048,12.8434466161543,245.588089537094,4.85786382988912e-38,1.13575057133982e-35,76.9723285700897
35907_at,4.11466539536644,4.12247165150422,244.113268899972,5.51782301484727e-38,1.26659119204449e-35,76.8576410161567
1339_s_at,2.8044341171057,2.80299808976767,243.777855152324,5.68062583328373e-38,1.28067680616441e-35,76.8314342520834
40939_at,3.38285760651926,3.38300522743536,243.017114857766,6.06879870103477e-38,1.34418567720288e-35,76.7718245185971
41688_at,3.81035102031092,3.81281548781969,241.683112376195,6.81802870345961e-38,1.48409676519272e-35,76.6667184320645
34598_at,3.6542468362863,3.65438432830773,240.796253877881,7.36925503646953e-38,1.57689567517674e-35,76.5964329975415
428_s_at,13.1491407683971,13.1629016647929,240.444765120561,7.60046175683348e-38,1.59926382800038e-35,76.5684855780428
35776_at,3.39313782266367,3.39747348231414,240.061287959086,7.86139731965971e-38,1.62647102125156e-35,76.5379354154048
33843_g_at,2.83663272762575,2.83407366366241,239.880826222752,7.98742204495814e-38,1.62647102125156e-35,76.523537254875
32748_at,14.074993638007,14.1056001399682,239.255506276009,8.44072971009876e-38,1.69149543793646e-35,76.4735394336682
33058_at,3.50683630205379,3.51769497286635,238.71498646462,8.85427107520915e-38,1.74664331757056e-35,76.4301880673012
361_at,4.40511840549211,4.41004349729096,237.560184637746,9.81050025968073e-38,1.86923849978386e-35,76.3371511574776
33862_at,3.53668774489141,3.53943442144826,237.401197133822,9.95038564790798e-38,1.86923849978386e-35,76.3242974470283
736_f_at,3.84844353921228,3.85098586107598,237.337708526556,1.000682838654e-37,1.86923849978386e-35,76.3191615211639
38538_at,3.27760401568778,3.27485710555956,237.246381053262,1.00886092298366e-37,1.86923849978386e-35,76.3117705146631
39130_at,6.8746821278184,6.9051108702088,237.105612990517,1.02160361572345e-37,1.86923849978386e-35,76.3003712983761
31815_r_at,2.87386809650443,2.87229108974352,236.693279552602,1.05990832957011e-37,1.89506761867678e-35,76.2669317638698
33730_at,3.57207663489743,3.57087329643437,236.631865340882,1.06574099743407e-37,1.89506761867678e-35,76.261944876377
33467_at,3.89741800170621,3.89739969422704,235.620739799745,1.16675756552429e-37,2.04587698121446e-35,76.1796048315418
32933_r_at,4.03708971424243,4.04145317206199,234.748431968707,1.26196073497901e-37,2.18250058617945e-35,76.1082102222616
2048_s_at,3.77302684146354,3.78114587467729,234.147806625149,1.33221700515781e-37,2.26731056371801e-35,76.0588570079414
41261_at,3.16029523758375,3.16059608846944,234.026334823448,1.34691716656515e-37,2.26731056371801e-35,76.0488563233576
39609_at,3.24146323526213,3.23956706117092,233.805531773773,1.37407479482798e-37,2.28259135325043e-35,76.0306610283471
41382_at,3.05768939767507,3.05976387999047,233.591383997075,1.40096204102181e-37,2.2946756664732e-35,76.012993497419
34643_at,12.5548244594709,12.5411912670467,233.460229850831,1.41770060978146e-37,2.2946756664732e-35,76.0021630098484
41026_f_at,3.40379457930794,3.40298165710586,233.270681899773,1.44226269765015e-37,2.30488184276368e-35,75.9864969342283
31583_at,12.9454210591141,12.8481256140806,233.024497242691,1.47483099641009e-37,2.32746766620967e-35,75.9661259473418
34644_at,13.3430354442964,13.3820613885487,232.838797275706,1.49990675597415e-37,2.33781762891033e-35,75.9507419699603
1771_s_at,3.18367654232555,3.18279223879511,232.658437810895,1.52468905364236e-37,2.34746332954083e-35,75.9357856538005
31660_at,3.70381028298305,3.71160293349396,231.976212532819,1.62237777554597e-37,2.46777342364673e-35,75.8790801309364
33001_s_at,3.91415625357819,3.91785616456504,231.528778117545,1.68998821979682e-37,2.54001205653987e-35,75.8417763161397
40714_at,2.94415897075636,2.94223498623008,230.874025180829,1.79429210980319e-37,2.6650515160312e-35,75.7870245959748
32315_at,12.8889910796861,12.8130999996067,229.800390350655,1.98016902997684e-37,2.87861383752663e-35,75.6968229946766
