,logFC,AveExpr,t,P.Value,adj.P.Val,B
35119_at,13.2620143087034,13.2802801668512,391.933209317952,1.58541348142548e-44,2.00158452029967e-40,88.7378920945592
32438_at,13.5708321449279,13.5743732618581,324.294327221504,1.11027281810459e-42,4.22244356583495e-39,85.7655756782254
33660_at,13.3605732096178,13.3312331739092,322.202367999438,1.2837093039708e-42,4.22244356583495e-39,85.6576369271384
36333_at,12.77389997804,12.7393432272266,321.609946620009,1.33780390204672e-42,4.22244356583495e-39,85.6268691059177
32276_at,13.2355703608845,13.211044029997,307.73807323841,3.59622100386343e-42,8.74263949939776e-39,84.8801860303059
347_s_at,13.4632679693913,13.4598103456653,304.241566659755,4.64672834073311e-42,8.74263949939776e-39,84.6837229823978
31952_at,12.876688528688,12.8447358665458,303.668556202824,4.84740407887401e-42,8.74263949939776e-39,84.6511968480561
32466_at,13.1193276203678,13.1097080181376,291.39810391304,1.22250682155456e-41,1.92926857776578e-38,83.9315776260892
36507_at,2.94662127709143,2.94224800774543,288.191591362143,1.56683145172909e-41,2.19791634200886e-38,83.7359831864331
327_f_at,13.1111638113749,13.0986563586389,269.67059031913,6.9498606725352e-41,8.77419909907569e-38,82.5400478711843
34600_s_at,3.13401479649415,3.13157588073478,267.537719656921,8.30450501694948e-41,9.22080300437545e-38,82.3946615851259
540_at,2.72552335525996,2.72576697779366,266.895573904317,8.76432760811924e-41,9.22080300437545e-38,82.3505639149107
34104_i_at,2.87625681823053,2.8765324602074,261.492201806137,1.38649660525218e-40,1.3465015108699e-37,81.9734032453267
35485_at,2.88091602237746,2.87958845284135,260.154312035826,1.55552392860263e-40,1.37163509226436e-37,81.8783025409323
39965_at,3.09904611682377,3.10217566290604,259.412998651594,1.65832099680541e-40,1.37163509226436e-37,81.8253095322794
36555_at,3.61600351395445,3.6174181855601,258.868641479558,1.73830981989939e-40,1.37163509226436e-37,81.7862595626312
35748_at,12.5559693331365,12.4671007147564,256.088054686318,2.21465108475304e-40,1.64405456420031e-37,81.5849707511389
40862_i_at,2.04459301355634,2.04362004099574,255.440660314121,2.34399858658262e-40,1.64405456420031e-37,81.5376639077885
38937_at,3.34579156706118,3.35006164873601,252.525175672004,3.03217997265975e-40,2.0148037976226e-37,81.3225218077536
33416_at,2.84885844706666,2.84953741193055,251.189013618374,3.41525695356842e-40,2.15588095194007e-37,81.2227597040909
1339_s_at,2.8044341171057,2.80299808976767,249.68831785449,3.90645367256105e-40,2.34852274362301e-37,81.1098286489731
36428_at,3.56035204465555,3.56226578758691,247.465181217092,4.77401525203656e-40,2.67858245954349e-37,80.9407898555411
1653_at,12.906828548048,12.8434466161543,247.223457795213,4.87979378768319e-40,2.67858245954349e-37,80.922283445432
1277_at,3.57135788678288,3.57348727894588,246.646631695464,5.14222605409389e-40,2.70502516387231e-37,80.8780202927486
32748_at,14.074993638007,14.1056001399682,245.90187678695,5.50303963557091e-40,2.77903501596331e-37,80.8206592019004
348_at,2.53661082388017,2.53427248497664,244.750432099712,6.11381987876978e-40,2.94161857239132e-37,80.7315019317781
33843_g_at,2.83663272762575,2.83407366366241,244.178174077964,6.44332612501277e-40,2.94161857239132e-37,80.6869765093086
428_s_at,13.1491407683971,13.1629016647929,244.042747823899,6.52398574470946e-40,2.94161857239132e-37,80.676418464772
32409_at,2.50749661250542,2.50495070976912,243.059678532438,7.14205236248514e-40,3.10925555435776e-37,80.5995348808212
39567_at,2.34565031947389,2.34139663469016,240.425480889706,9.11895727649784e-40,3.82923892672077e-37,80.3914026925467
38701_at,3.60156904706246,3.60829949270438,240.097421530309,9.40248766165099e-40,3.82923892672077e-37,80.3652639468782
31815_r_at,2.87386809650443,2.87229108974352,239.203521615366,1.02227689377305e-39,4.03320180746399e-37,80.2937929448549
34644_at,13.3430354442964,13.3820613885487,237.420210639906,1.20905117470666e-39,4.62553669111262e-37,80.1501177715766
39191_at,2.0436527447112,2.04135201560012,235.258099322176,1.48435535125021e-39,5.41044971095912e-37,79.9739470902533
