,logFC,AveExpr,t,P.Value,adj.P.Val,B
FBgn0025683,8.36714678456075,8.51508981115262,464.783097306139,9.59703923927315e-14,2.69772265043138e-12,10.4516578772754
FBgn0260748,8.42532357864851,8.49808602404359,367.97895975789,3.42762519168746e-13,2.69772265043138e-12,10.4391070344301
FBgn0002968,8.12929012035671,8.19079593743584,351.117815315757,4.4261385130739e-13,2.69772265043138e-12,10.4356741666428
FBgn0011710,7.9625201606519,7.7024990262512,343.653677382563,4.97611271799065e-13,2.71407278663116e-12,10.4280427074318
FBgn0030482,8.33096797370461,8.44560192412949,311.432362659621,8.51032080058594e-13,4.61906759131577e-12,10.4271298445656
FBgn0003137,8.96824112505002,8.42190341640218,371.743211706497,3.242655447095e-13,2.69772265043138e-12,10.4256039507312
FBgn0038320,8.68289608514687,8.70147141471714,328.68944595635,6.34279196173909e-13,3.45297967217324e-12,10.4250457387706
FBgn0032940,8.06429553691774,8.08422739073366,298.585306214552,1.07069796921259e-12,5.79827829884214e-12,10.4208158592732
FBgn0010173,7.98695238215952,7.93530461699821,306.691809862029,9.25242818891188e-13,5.01433093234288e-12,10.4197962280874
FBgn0024238,8.20448317575465,8.30282936521461,279.849901463895,1.52428018116884e-12,8.20548148121767e-12,10.4165097493568
FBgn0031408,8.19610023166143,8.2101431551593,277.025008818263,1.61094622532012e-12,8.66235298416284e-12,10.415259611155
FBgn0000579,9.58254361663363,9.32898936418674,401.10148979034,2.14271899466008e-13,2.69772265043138e-12,10.4136706095867
FBgn0026252+FBgn0035838,9.45630114479159,9.46702861418737,377.365635362759,2.9878986443746e-13,2.69772265043138e-12,10.4133294685778
FBgn0010328,9.02946759486068,9.09546799984102,315.773678278988,7.89179168113623e-13,4.28657003100755e-12,10.4117264147116
FBgn0037703+FBgn0037702,8.53879073357622,8.62889691850575,272.899454954758,1.74823033096296e-12,9.38660218517031e-12,10.4105275621355
FBgn0029688,8.04197180704129,8.09245697660997,270.930393961775,1.81861322574122e-12,9.75726117036537e-12,10.409377177634
FBgn0038347,8.01147466482635,7.81894951491134,273.058615562738,1.74268334984946e-12,9.36376831500993e-12,10.4088942953889
FBgn0015477,8.14396322514576,8.26338664302311,261.413819878773,2.20995239866512e-12,1.18218156039498e-11,10.407596896062
FBgn0039697,7.57682467904763,7.45812323174909,454.647717549871,1.08225668183779e-13,2.69772265043138e-12,10.4064773694585
FBgn0002921,10.2538970273265,10.111656055056,547.668907515025,3.9234692179843e-14,2.69772265043138e-12,10.4064673027699
FBgn0032643,8.93937149931193,8.81743686434919,285.533944667495,1.36605144735575e-12,7.36741127217207e-12,10.404672534504
FBgn0011766,8.66258480275769,8.78723199152788,261.460346313514,2.20780978416992e-12,1.18147217370336e-11,10.4023526119898
FBgn0033483,8.59266227041897,8.71936261768963,256.467236146386,2.45247195694226e-12,1.30901029940813e-11,10.4017456304741
FBgn0010877,7.6762709830524,7.76524508713501,323.346290124574,6.93549816918118e-13,3.77138889545478e-12,10.3990634472263
FBgn0033460,7.68770457598143,7.72759069394236,315.442556365305,7.93705082518231e-13,4.30953566380443e-12,10.3983984606489
FBgn0032456,9.2371175741098,9.24497310853041,289.91816804932,1.25717775541623e-12,6.79035540159493e-12,10.3979343254246
FBgn0031011,8.34312286199953,8.35073105984496,239.829075849475,3.53490076508555e-12,1.8722552734549e-11,10.396435965146
FBgn0034072,8.84060624814508,8.74940448137494,258.878700641992,2.33050899927488e-12,1.24529044385183e-11,10.3961097824434
FBgn0010225,9.72314361818329,9.97418992561499,317.219399394054,7.69772754653364e-13,4.18273066460164e-12,10.3940552574381
FBgn0032078,8.75828967475043,8.51545877889111,247.429283102104,2.98213477541343e-12,1.58412225404671e-11,10.3924507306153
FBgn0052066,7.61523831195481,7.66663553162474,328.199347198592,6.39459077021087e-13,3.4798694413295e-12,10.3923719220966
FBgn0261445,8.88748786465372,8.99205312338865,251.871148494813,2.70650907759414e-12,1.44247463546178e-11,10.3911241280739
FBgn0005278,7.79024428226522,7.71572896474764,263.575236583328,2.11296088670387e-12,1.1311337044249e-11,10.3901118858694
FBgn0029976,7.47169318692177,7.57098132155286,452.728043982291,1.10750765755839e-13,2.69772265043138e-12,10.3895236433615
FBgn0028982,8.11788222935556,8.13613398955133,228.29761230659,4.62401472178985e-12,2.4348432687154e-11,10.3876000652694
FBgn0031390,7.64683113476,7.6365891633707,291.117653581223,1.22920168887056e-12,6.64420935299103e-12,10.3857473694557
FBgn0032479,8.42056954784519,8.38177466999757,222.487782557823,5.32154320686602e-12,2.78793375102648e-11,10.3837305132965
FBgn0004401,9.14858034817346,9.05203124414688,251.14872004054,2.74921521390644e-12,1.46361825405542e-11,10.3833063224981
FBgn0032633,7.71041840940442,7.70762529912725,265.177030765062,2.04432270127296e-12,1.0956055365711e-11,10.3832402723405
FBgn0031681,7.55514672936747,7.58805580275379,323.650204163145,6.90007441345168e-13,3.75353672040022e-12,10.3831924861311
FBgn0040918,8.52764868978375,8.4718857011159,223.711220179754,5.16484078471757e-12,2.70779877372693e-11,10.3825411212584
