baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT3G01430	22.9089292525328	18.9899900056245	2.14826087793824	8.8397038742566	9.59726317597862e-19	1.85831806876474e-14
AT1G47405	20.7095508063922	20.958806074911	2.43457376093919	8.60881950310091	7.3816769313012e-18	7.14657052103925e-14
AT2G33830	1938.15972245578	-2.5606089238972	0.312662965905804	-8.18967771408093	2.61926607507244e-16	1.69056163372092e-12
AT5G28627	8.11837574696796	-21.1313183371837	2.87569115462828	-7.34825723658602	2.00807768596282e-13	9.72060205832452e-10
AT2G33750	9.78974023792121	-19.9893010508018	2.84751327996584	-7.01991495226376	2.22003337614989e-12	7.1644177103984e-09
AT3G54500	2238.31465243258	2.72043011788789	0.386304973868141	7.04218247735135	1.89251749307152e-12	7.1644177103984e-09
AT2G33300	11.5542383338281	20.29406508976	3.27569796577075	6.1953407493065	5.81590696619791e-10	1.60876295123557e-06
AT2G05935	973.683016748309	2.33225971445851	0.379639292859746	6.14335701894836	8.07954015421521e-10	1.95555170007586e-06
AT1G17665	143.57944319294	-3.71426482171252	0.617321727885359	-6.01674079160597	1.77963702056291e-09	3.63136226681657e-06
AT2G46830	169.505077326117	3.52708215455862	0.587040250830355	6.00824585634401	1.87541303869058e-09	3.63136226681657e-06
AT1G28330	1636.02224215342	-1.49334104298336	0.24953940880032	-5.98438960067552	2.17202850332217e-09	3.82336253725702e-06
AT1G48598	39.8413550443111	-9.77903027609799	1.65645957676193	-5.90357314677983	3.55711800020997e-09	5.7397063198388e-06
AT5G51030	7.55820183584994	19.2459892667569	3.28594708638498	5.85706000760049	4.71132928900816e-09	7.01734377100501e-06
AT1G25210	31.1258814171106	-22.8561296734869	4.20707482711538	-5.4327842058275	5.54814877165172e-08	7.67348604753516e-05
ATMG00280	8.37098282756984	-17.9628323122825	3.3197751348026	-5.41085814035132	6.27234460420215e-08	8.09676057141108e-05
AT4G04420	386.205895161473	2.8959476167018	0.539608501592367	5.36675683973836	8.01650153948294e-08	9.70146995681302e-05
AT1G37999	39.3092672569083	8.26701840783872	1.57887131277329	5.23603053710417	1.64066819352886e-07	0.000186653080879292
AT3G20810	275.3552997201	-2.48887689902402	0.47627789504328	-5.22568215935752	1.73514200063382e-07	0.000186653080879292
AT1G29715	7.13113425802168	19.5191136341873	3.76808065647036	5.18012097237623	2.21742050679253e-07	0.000205429614403033
AT3G47800	123.393531078732	-3.73017807994558	0.720217907380511	-5.17923539767642	2.22797185480747e-07	0.000205429614403033
AT4G02050	132.379489848068	-3.43326468088888	0.661668891205154	-5.18879567488141	2.11658481133266e-07	0.000205429614403033
AT3G16900	7.51104782197241	17.5337487837022	3.47318045834739	5.04832645293792	4.45697084484569e-07	0.000375218810733683
AT5G25140	61.256543528814	4.59125040917098	0.908974497853946	5.05102224541034	4.39451883530881e-07	0.000375218810733683
AT1G20691	13.6342350383337	-20.482116737429	4.21212318648458	-4.86265852887445	1.15819552454019e-06	0.000934422497569652
AT2G45180	1676.31185629692	-1.79831490158554	0.379428418435817	-4.73953666675534	2.14207471510578e-06	0.00165907970834373
AT4G08330	22.992578270705	-8.19619576392341	1.73977104067054	-4.71107724655795	2.46410807994416e-06	0.00183509710584456
AT5G49560	39.7221632104762	-7.7388411144506	1.66619036126355	-4.64463202666825	3.40683126040231e-06	0.00244320272945074
AT1G12070	26.284231797298	-8.81058238791738	1.90047579853445	-4.63598767988083	3.55237125448281e-06	0.00245659159287681
AT1G50010	1383.9541635437	-1.23968360123028	0.268775106116462	-4.61234531405271	3.98150826297019e-06	0.00251118329662862
AT1G60430	63.2957568438269	4.11384116709849	0.893214020740387	4.60566120949212	4.11157316973972e-06	0.00251118329662862
AT4G33040	13.0005559761541	19.3719374855127	4.20936405152161	4.60210550772155	4.18241228347309e-06	0.00251118329662862
AT5G43160	39.4215176932808	4.33059927062594	0.941985049894973	4.59731210289248	4.27976288740095e-06	0.00251118329662862
AT5G45472	212.860859002585	2.39956417809635	0.520807892916311	4.60738827259275	4.07758172187519e-06	0.00251118329662862
ATMG00180	119.489478303375	-9.36338830133406	2.04712443852028	-4.57392238847102	4.78677216102292e-06	0.00272606674570255
AT3G16640	4726.30876685168	-1.14530636166746	0.251919736592786	-4.54631454112222	5.45934310060483e-06	0.00302026458448604
AT1G71420	162.059769308378	2.75137382753351	0.611471480029983	4.49959469474946	6.80831466026941e-06	0.00366192768796657
AT5G54140	26.3406328598133	-7.9890826910957	1.78238385728087	-4.48224587451296	7.38615730074823e-06	0.00386535577876724
AT1G55330	511.300987286135	-1.71023380794546	0.383545769417247	-4.45900840085907	8.23396942095816e-06	0.00419564078678981
AT3G05880	744.934500366104	-1.58627352338298	0.357537093166937	-4.43666840084293	9.13618666102514e-06	0.00453599954660076
AT4G16140	256.867163093135	2.70929543080228	0.620263217513841	4.36797693995425	1.25402730123617e-05	0.00607043265845899
AT1G16170	70.9703241006405	-3.50795816342038	0.8073004061797	-4.34529468407022	1.39088814266354e-05	0.00612085616054411
AT3G22230	1693.34812085619	-1.24842554714875	0.287302836536122	-4.34532969531537	1.39066630754424e-05	0.00612085616054411
AT4G16444	63.8924683854826	-3.69197029425513	0.847444659030571	-4.35659161328426	1.32103414940148e-05	0.00612085616054411
AT5G25190	138.21143324699	4.31224919669228	0.99143178225141	4.34951680376812	1.36437829280879e-05	0.00612085616054411
AT3G49310	154.32276581673	-2.94775498381774	0.679761016945966	-4.33645782904914	1.44797191493536e-05	0.00616279868896076
AT5G04530	247.069416360052	-2.17092673585059	0.500903125306635	-4.3340251361411	1.46407447034135e-05	0.00616279868896076
AT2G45023	47.5979098204247	3.97911056039459	0.919611697881198	4.32694643789605	1.51190708054787e-05	0.00622873548949964
AT4G08930	230.208305291915	2.29203955757658	0.531792073712762	4.31002956018969	1.63232725251167e-05	0.00658474012299655
AT1G43260	55.2699008195895	7.08861878271131	1.65101764644015	4.29348456571344	1.75890547198511e-05	0.00686823769927514
AT1G61820	448.197171859026	1.96868020121918	0.459194579110816	4.28724617139717	1.80901783124016e-05	0.00686823769927514
AT1G71060	48.4684812726848	-5.46663762716212	1.27450082709628	-4.28923819501702	1.79287013336707e-05	0.00686823769927514
AT1G20620	5099.77785127764	-1.12847496276734	0.263556448762482	-4.28172017063535	1.85454105187137e-05	0.00690566892065103
AT5G67220	211.688098289805	-3.53078882056815	0.829167507523485	-4.25823345528062	2.06048707665109e-05	0.00752777571041416
AT5G01335	470.181514244133	2.0601407615432	0.4853079088502	4.24501790301362	2.18575968817823e-05	0.00783756756336946
AT3G15450	2933.42252582303	-1.054193865326	0.248868422811987	-4.2359486728552	2.27588764786524e-05	0.00801236591374811
AT5G22040	711.362469029915	1.33940838856778	0.317007931165266	4.22515734431106	2.38773887070485e-05	0.00825603352740322
AT5G51960	133.380981712181	-3.13277619831628	0.744597802511986	-4.20734010730021	2.58394106093306e-05	0.00877769311628891
AT1G50270	97.7893868745434	3.34331127769731	0.800385063480491	4.17712852256244	2.9521223806556e-05	0.00968846536553124
AT3G03100	304.624532874215	-1.76078610892627	0.421177135181481	-4.18063081265693	2.90701517721071e-05	0.00968846536553124
AT1G03990	91.3541495771916	3.68789156508111	0.884972952356928	4.16723647345293	3.08314617224675e-05	0.00994982655553563
AT2G02100	1211.54022222999	-1.01256533037437	0.244040944175815	-4.14916166544939	3.3369509167847e-05	0.0102560921590003
AT3G30213	116.119402951602	3.34281849256687	0.805457852159934	4.15020908121101	3.3217171196382e-05	0.0102560921590003
AT4G39970	150.184288209101	-3.02095026172511	0.728017819840719	-4.14955538091919	3.33121688247118e-05	0.0102560921590003
AT1G76790	473.849233997573	-1.83583706096101	0.445485611615907	-4.12097947294391	3.77265042100478e-05	0.0112384354002947
AT5G21274	244.348778539708	-1.64301353281934	0.398367231511534	-4.12436918213683	3.71752207121264e-05	0.0112384354002947
AT1G61810	636.60881172292	1.3818037681053	0.336642356461123	4.10466401979598	4.04902910611259e-05	0.0118332771924215
AT4G02410	35.5474024100795	-8.1576653911695	1.98866650920866	-4.10207812792886	4.09455958215276e-05	0.0118332771924215
AT1G38065	111.332051792947	-4.6543141262921	1.13733439186481	-4.09230052268159	4.27114618171144e-05	0.0121620887524233
AT1G06200	203.649182940224	-2.3264139052814	0.569235607446719	-4.08690861015604	4.37159221051186e-05	0.0122677014452378
AT2G30010	180.023138896646	-2.48161513827346	0.609325770023626	-4.07272309880679	4.64666553471824e-05	0.0126723077110915
AT2G31150	2184.72097547745	1.13874225854487	0.279583568422099	4.07299422126864	4.64125763575178e-05	0.0126723077110915
AT4G35295	22.5979976996337	6.80080295529937	1.67195237806798	4.06758173528725	4.75035486588873e-05	0.0127751557316949
AT4G29430	43.9249718400687	-5.268916776355	1.29883795777545	-4.05663904786029	4.9783929041698e-05	0.0132050166854027
AT3G21430	1276.18787294108	1.06933992634066	0.26468677495366	4.04002023345473	5.34465903665411e-05	0.0139849503955045
AT5G44020	627.668185558112	-1.53662339934133	0.381087891907174	-4.03220210343398	5.52566351425673e-05	0.0141319933691105
AT5G67520	34.0744032744093	-6.12714351385234	1.51989120267196	-4.0313040190514	5.54682381889374e-05	0.0141319933691105
AT3G13460	1604.37088239871	-1.20194778742145	0.298987244601976	-4.0200637623238	5.81823920872255e-05	0.0146309825712331
AT3G13920	1823.07068264185	-1.17625078206049	0.292902047323309	-4.01585032542338	5.92318401860332e-05	0.0147039246348995
AT1G10910	417.022675207567	1.34930945594534	0.338247605018692	3.98911754562393	6.63195537837296e-05	0.0156070521170053
AT2G34590	281.751192148453	-2.09318336161417	0.524621173130377	-3.98989493528119	6.61025692680478e-05	0.0156070521170053
AT2G39855	43.1233326045679	-4.54221709528525	1.13891921109274	-3.98818199837651	6.65815768705878e-05	0.0156070521170053
AT5G02870	1485.98040713166	-1.12201544092323	0.281414966513451	-3.9870496399828	6.69000323147982e-05	0.0156070521170053
AT5G15970	311.317826369725	-2.25735998508271	0.564603143591418	-3.99813570063344	6.38433477871373e-05	0.0156070521170053
AT1G50420	64.4848863257757	3.91079150100622	0.985614779902244	3.96787018696504	7.25178143584837e-05	0.0167162195169443
AT1G54180	196.581243443209	2.09547112565113	0.528731412644648	3.963205278782	7.39501417601114e-05	0.0168458422929534
AT3G13790	62.3197615906795	4.79358267356979	1.21257824337717	3.95321514281761	7.71080475564784e-05	0.0173609665678615
