ERR1698194	ERR1698195	ERR1698196	ERR1698197	ERR1698198	ERR1698199	ERR1698200	ERR1698201	ERR1698202	ERR1698203	ERR1698204	ERR1698205	ERR1698206	ERR1698207	ERR1698208	ERR1698209
AT1G01010	21	58	24	20	75	80	93	115	86	60	2	45	102	49	163	32
AT1G01020	429	603	675	781	614	578	1283	750	578	665	131	377	399	400	569	620
AT1G01030	10	32	187	80	24	0	167	61	47	21	99	0	8	56	37	5
AT1G01040	1237	2061	1376	1640	2305	1360	2659	3422	984	2027	1315	1234	1510	1909	2818	1869
AT1G01050	406	502	122	401	275	412	395	679	357	805	530	789	305	629	273	639
AT1G01060	0	274	41	18	132	193	112	82	8	2	6	60	44	112	7	113
AT1G01070	343	758	119	485	652	349	241	425	434	104	171	224	315	505	377	368
AT1G01073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01080	296	316	97	109	319	211	314	384	330	414	208	179	211	256	153	271
AT1G01090	866	798	691	1041	583	455	1673	844	873	990	832	931	938	1000	918	937
AT1G01100	2029	1243	1346	1650	712	652	1772	2451	2466	2411	1538	611	1051	1370	1223	1506
AT1G01110	42	17	13	116	12	19	16	173	8	69	9	16	61	7	79	67
AT1G01115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01120	143	38	69	90	152	11	61	449	42	180	12	139	10	101	45	289
AT1G01130	43	49	95	50	57	108	130	123	34	47	79	45	130	172	104	47
AT1G01140	38	367	131	91	121	201	310	311	443	69	274	306	128	180	300	114
AT1G01150	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01160	527	765	295	263	593	645	920	531	570	756	263	310	523	850	966	231
AT1G01170	332	191	210	224	188	193	285	441	295	298	165	238	174	94	85	243
AT1G01180	0	9	0	0	0	0	0	19	14	45	0	0	0	1	0	0
AT1G01190	16	4	15	107	6	8	10	8	36	29	64	64	70	103	41	26
AT1G01200	41	106	2	0	4	27	130	30	83	18	0	4	3	8	23	123
AT1G01210	144	63	65	34	95	43	78	34	77	101	90	115	10	164	81	132
AT1G01220	212	476	335	206	156	311	324	612	377	191	101	257	157	412	483	703
AT1G01225	11	73	21	7	14	3	90	136	6	22	9	95	62	27	14	31
AT1G01230	28	40	76	62	153	120	220	150	162	189	28	0	43	232	47	82
AT1G01240	310	595	311	396	788	643	1225	1008	294	125	132	116	499	444	590	260
AT1G01250	0	0	0	0	0	0	1	1	0	0	0	0	0	75	0	0
AT1G01260	67	280	254	119	109	68	52	307	222	191	43	196	79	232	154	77
AT1G01270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01290	279	393	35	119	194	82	385	134	149	80	153	448	31	106	289	61
AT1G01300	856	700	688	349	827	798	1103	961	978	903	456	534	409	381	714	528
AT1G01305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01310	3	0	7	1	0	0	1	10	0	0	0	0	0	0	2	0
AT1G01320	3101	2730	3587	4495	2197	2237	4463	4939	3397	3832	2340	1883	2109	3409	2934	2861
AT1G01340	8	0	0	1	17	5	0	0	0	24	0	0	0	41	0	0
AT1G01350	94	218	153	246	82	132	276	269	195	58	139	726	224	518	272	215
AT1G01355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01360	151	8	11	0	0	49	11	1	5	154	4	16	0	45	42	22
AT1G01370	42	54	64	80	93	12	26	91	64	7	131	4	40	89	87	197
AT1G01380	0	0	40	133	7	5	39	23	0	7	0	4	0	1	2	9
AT1G01390	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
AT1G01400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01420	27	263	103	119	116	121	190	35	161	60	199	120	67	276	55	145
AT1G01430	131	89	87	64	124	111	218	831	50	246	76	629	66	178	454	330
AT1G01440	49	51	135	5	18	16	93	152	43	107	129	17	61	67	10	44
AT1G01448	169	564	212	312	188	327	340	597	72	399	117	164	213	244	202	492
AT1G01450	0	0	1	33	0	3	29	32	0	0	69	0	0	6	0	21
AT1G01453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
AT1G01470	27	225	105	27	196	68	135	31	272	260	287	338	77	269	354	208
AT1G01471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01480	0	0	0	1	1	0	0	2	0	0	1	0	0	0	14	3
AT1G01490	1997	4474	2219	2868	4539	3184	5005	4349	2072	3135	2248	3202	3170	3562	3437	2958
AT1G01500	78	75	70	70	56	195	59	76	2	132	83	3	61	174	49	41
AT1G01510	311	366	407	424	259	365	639	710	254	697	386	444	571	254	349	727
AT1G01520	0	31	59	3	57	22	87	0	116	0	1	0	46	21	1	132
AT1G01530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01540	331	490	477	350	634	127	230	615	371	894	220	349	281	151	379	451
AT1G01550	467	527	482	436	281	245	1116	754	910	1017	195	679	695	408	478	498
AT1G01560	10	27	0	44	3	0	0	0	2	0	0	0	0	1	15	0
AT1G01570	1	0	0	0	0	9	5	0	21	0	0	0	0	0	0	8
AT1G01580	0	49	14	19	15	36	0	11	0	0	0	0	24	0	1	0
AT1G01590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01600	47	91	12	15	0	21	70	64	79	56	2	38	18	55	9	63
AT1G01610	302	126	113	351	22	288	198	534	170	509	309	154	130	104	146	123
AT1G01620	1236	1960	1774	2393	936	1483	3943	3063	1788	3321	957	854	1129	1106	1740	2797
AT1G01630	156	79	112	78	0	68	296	136	163	15	60	67	134	203	302	120
AT1G01640	145	0	0	1	3	0	0	28	0	0	0	0	4	0	45	0
AT1G01650	425	798	704	527	911	710	1250	847	798	739	552	877	395	794	726	638
AT1G01660	668	919	481	680	497	849	980	799	741	582	503	717	811	778	828	275
AT1G01670	66	357	69	126	87	142	240	184	107	98	43	54	61	243	409	250
AT1G01680	0	0	2	1	15	0	0	0	2	0	0	0	0	2	0	2
AT1G01690	294	421	184	138	265	29	284	229	170	207	48	181	355	470	511	500
AT1G01695	7	28	56	11	74	87	238	99	55	66	15	19	35	73	21	161
AT1G01700	229	875	439	360	825	550	1000	709	538	401	164	502	839	990	942	685
AT1G01710	326	455	401	433	469	400	634	674	532	472	277	424	521	696	579	473
AT1G01720	0	32	9	45	30	199	140	121	36	27	0	48	26	61	15	24
AT1G01725	52	77	69	24	48	83	94	48	59	53	16	57	28	55	96	65
AT1G01730	120	360	97	28	254	287	451	333	184	562	213	95	262	252	302	399
AT1G01740	20	37	45	58	5	19	26	43	41	93	45	10	1	35	31	51
AT1G01750	0	45	33	142	3	147	30	204	41	16	98	57	72	8	91	86
AT1G01760	274	490	594	358	146	398	968	362	378	373	502	158	370	416	236	426
